FacilityName,Contractor (y/n),Address,City,State,ZipCode,BusinessHourRate,AfterHoursRate,HolidayRate,TriLingualRateUplift,EmergencyFee,Phone,Contact Name,Contact Email,Notes,Department Charge#,Product #,Director
Acees Partners- Julian,,52 Riley Rd PMB 196,Celebration,Fa,,,$115.00,,,,,,,,,,
Acess A Ride,,101 Ellis St,Staten Island,NY,10307,$75.00,,,,,718-605-3715,Marc Haber,lorraine@hhstaff.com,,,,
Acolad,,,,,,$135.00,,,,,,Paul Langie,paul.langie@acolad.com,,,,
Ad Astra,,8701 Georgia Ave Suite 808,Silver Spring,MD,20910,125,,,,,844-203-4242 x153,Daniela Perez,danielaperez@ad-astrainc.com,,,,
Advantage Care,,,Staten Island,NY,,$90.00,$95.00,$160.00,,$100.00,,,,,,,
Advantage Care Astoria,,31-75 23rd St,Astoria,NY,1106,90,110,,,,646-680-3612,Jasmin Harris- Asst Practice Adm,harrisjasm@acpny.com,Also: Virginia DeJesus: dejesusv@acpny.com,Practice Adm: Gina Tymus: Tymusg@acpny.com,,
Advantage Care E. 22nd,,21 E. 22nd. St,Manhattan,,,$90.00,$100.00,,,,646-680-1922,lydia Louis,Louisl@acpny.com,,,,
Advantage Care E. 95th St,,215 E 95th St,New York,NY,,90,110,,,,646-680-3771,Giselle Urena- Administrator,urenag@acpny.com,Janet 212-996-8000 x6731503,astudilloj@acpny.com,,
Advantage Care E22nd St,,21 E. 22nd St,New York,NY,,90,110,,,,646-680-3365,Johnnie May McKenzi,,Idonna E- Elgoni@acpny.com,,,
Advantage Care Forest Hills,,96-10 Metropolitain Ave,Forest Hills,NY,11375,90,110,,,,646-680-3612,Jasmin Harris- Asst Practice Adm,harrisjasm@acpny.com,Also: Virginia DeJesus: dejesusv@acpny.com,Practice Adm: Gina Tymus: Tymusg@acpny.com,Practice Site Nurse: Sharon Grainger,mckenzies@acpny.com
Advantage Care Harlem W125,,215 W 125th St,New York,NY,,90,100,,,,646-680-2819,Yesenia Camarena,camarenay@acpny.com,,,,
Aetna,,,,,,$75.00,,,,,,,,,,,
Aimlit,,,,,,$135.00,,,,,,,,,,,
ALS Global American Language Services,,1849 Sawtelle Blvd,Los Angeles,Ca,90025,$115.00,,,,,310-433-7025,Leslie Jacobson,leslie@alsglobal.net,310-829-0741- office,Regina Marusich,whatsapp- +52 442-790-8240,
Amazon Labor Union,,,Staten Island,NY,,$110.00,,,,,848-210-0636,Connor Spenc,Connor@amazonlaborunion.org,Media event,,,
Andre,,Turcios,Hicksville,NY,11802,$115.00,,,,,516-495-4848,Andre Turcios,,,,,
Andre Turcios,,,Hicksville,NY,11802,$105.00,,,,,,,,,,,
Arch Care Carmel Richmond,,,Staten Island,NY,,$90.00,$105.00,$150.00,,,,,,,,,
Arlene Petrie,,26 Court st 11th Floor Suite 1106,Brooklyn,NY,11242,$95.00,$110.00,,,,718-283-5056,Arleen Petrie,Apetrie@maimonidesmed.org,,,,
Atletic Edge,,10 Nassua St,Staten Island,NY,,,$110.00,,,,,Oriane,info@athleticedgeny.com,,,,
Bayview Dental,,736 Castleton Ave,Staten Island,NY,10310,$75.00,$85.00,,,,,,,,,,
Bridges- Access Jason,,,,,,$65.00,,,,,,,,,,,
Brooklyn Museum,,200 Eastern Pk,Brooklyn,NY,,$100.00,,,,,718-501-6227,Allison Day,Allison.Day@brooklynmuseum.org,,,,
Capital Linguistics,,2301 Shorefield Rd,Silver Spring,MD,20902,$150.00,,,,,612-817-7744,Philip Rosen,info@capitallinguists.com,Philip Cell: 612-817-7744,,,
Cardiovascular SI,,501 Seaview Ave,Staten Island,NY,,$75.00,$85.00,,,,,,,,,,
Carmel Richmond,,88 Old Town Rd,Staten Island,NY,10304,$75.00,$85.00,,,,,,,,,,
Central Jersey Oral Surgery,,158 Main St,Matawan,NJ,7747,$95.00,$110.00,,,,732-566-7648,Tracey or Gina,referral@cjoms.com,,,,
Certifications for Life,,197 State Route 18,East Brunswick,NJ,,$85.00,$100.00,$155.00,,,,,,,,,
Certified Interpreters CIS,,2052 Bundy Drive 1043,Los Angeles,Ca,90025,$90.00,,,,,888-254-9440,Irlanda,contact@cisinterpreters.com,Irlanda cell # 213-523-2736,,,
Chase,,,,,,$100.00,,,,,,,,,,,
Clifton Surgery,,1117 Route 46 East,Clifton,NJ,7013,$90.00,$105.00,$160.00,,,973-779-7210,Samantha Kennedy,cliftonsurgerydon@gmail.com,,,,
Clove Lakes ENT,,1414 Victory Blvd,Staten Island,NY,10301,$75.00,,,,,,,,,,,
CNBC,,900 Sylan Ave,Englewood,NJ,7632,$150.00,,,,,201-618-1566,Lori Ann LaRocca,LoriAnn.Larocco@nbcuni.com,,,,
CODeAF- Cresciano,,,California,,,$70.00,,,,,,,,,,,
Courtside Interpreting,,,,,,,,,,,,,,,,,
Cq Fluency,,,,,,$90.00,,,,,,Emila and Daniela,,Emila is in Italy and Daniela is in Argintina,,,
CUNY- CSI,,2800 Victory Blvd- 1P-101,Staten Island,NY,10314,145,115,,,,718-982-2513,Anjail,Anjail.AmeenRice@csi.cuny.edu,"NON Local $145, $155 Anjail Contact",,,
D'Agostino Law,,3309 Richmond Ave,Staten Island,NY,10312,125,,,,,718-967-1600,Lauren Vasquez,calendar@daglawteam.com,,,,
Daily Harvest,,,,,,$125.00,$125.00,,,,646-351-7385,,Marcus@daily-harvest.com,sarah is the owner,,,
David Flynn,,976 Bard Ave,Staten Island,NY,10310,$85.00,$100.00,$150.00,,$25.00,,,,,,,
Day Translation,,,,,,$90.00,,,,,813-565-0374,Colleen,interpreting@daytranslations.com,Colleen is in Brazil,,,
DEA,,,,,,$110.00,,,,,,,,,,,
Deafinite Solutions,,68-70 Tuers Ave,Jersey City,NJ,7306,$95.00,,,,,201-424-1061,Laura Weisharr,Deafinitesolutions@hce.works,,,,
Dhcc- Philly agency,,630 Fairview Rd,Swathmore,Pa,19081,$71.00,,,,,610-604-0454,,,,,,
Dosik Hematology,,500 4th Ave,Brooklyn,NY,11215,$95.00,,,,,718-208-1820,Judy and Sherine,ssmith@dosikhemonc.com,Judy called. Sherine smith- manager,,,
Dr Guss Dr Beri,,3200 Sunset Ave suite 208,Ocean,NJ,7712,$85.00,$110.00,$175.00,,,732-775-9000,Linda Perna,lperna@coastalhealthcarenj.com,,,,
Dr Indelicato,,,,,,$85.00,$110.00,,,,,,straiteeth@aol.com,,,,
Dr. Calamia,,4106 Hylan Blvd,Staten Island,NY,10308,$75.00,$85.00,,,,,,,,,,
Dr. Carniaris,,11 Ralph Pl,Staten Island,NY,10304,$75.00,$85.00,,,,,,,,,,
Dr. Decorato,,2777 Hylan Blvd,Staten Island,NY,10306,$75.00,,,,,,,,,,,
Dr. Goodman,,1 Bridge St,Irvington,NY,10533,105,,,,,914-350-4788,Dr. Heather Goodman,Dr@heathergoodman.com,,,,
Dr. Heltzer,,408 Seaview Ave,Staten Island,NY,10305,,$82.50,,,,718-987-6490,Tina Sullivan,tsullivan6490@yahoo.com,,,,
Dr. Knochenhauer,,237 Richmond Valley Rd,Staten Island,NY,10309,$75.00,$100.00,,,,,Jackie A,jackiea@islandreproductive.com,,,,
Dr. Macarthy,,,Staten Island,NY,,$60.00,,,,,,,,,,,
Dr. McCormack,,515 N. Wood Ave Suite 101,Linden,NJ,7036,100,,,,,908-925-8877,Gloriann Prisco,twinkglo@aol.com,Gloriann Cell # 917-655-6679,,,
Dr. Motta,,1200 South Ave,Staten Island,NY,10314,$75.00,$85.00,,,,,,,,,,
Dr. Pavlides,,2 Teleport Dr,Staten Island,NY,10314,$75.00,$85.00,,,,,Meridith,mbarizone@pbsgyn.com,,,,
Dr. Pepe,,800 Castleton Ave,Staten Island,NY,10310,$75.00,$85.00,,,,,,,,,,
Dr. Scafuri,,682 Forsest Ave,Staten Island,NY,10310,$85.00,$95.00,,,,718-370-3730 x13,Jennifer,jenniferrn603@gmail.com,Nichol Hynes- NicholHynes22@gmail.com,,,
Eiber Translations,,,,,,$130.00,$120.00,,,,516-498-1111,Ashley,calendar@eibertranslations.com,,,,
Eleanore Sunchild,,,,,,,,,,,306-481-3990,Eleanore,Eleanore@sunchildlaw.com,Biker Club documentary,,,
Elevate Unlimited LLC,,,,,,,,,,,,Naderah,,,,,
ENT & Allergy,,1 Teleport Dr,Staten Island,NY,10314,$75.00,$85.00,,,,,Jen Aquilone,Jaquilone@entandallergy.com,,,,
ENT & Allergy - 9020 5th,,9020 5th Ave,Brooklyn,NY,11209,$95.00,$110.00,,,,718-833-0514,Adanna St. Bernard,AStBernard@entandallergy.com,,,,
ENT & Allergy - Astoria,,37-19 Newton Ave Suite 201,Astoria,NY,11102,$95.00,$110.00,,,,718-971-2490,Carmela Morada,Cmorada@entandallergy.com,Carmela Morada,,,
ENT & Allergy - Garden City,,990 Stewart Ave Suite 610,Garden City,NY,11530,$95.00,$110.00,,,,516-222-1881,Francisco Posada,Fposadacastro@entandallergy.com,,,,
ENT & Allergy- Dyker Heights- Brooklyn,,802 64th St,Brooklyn,NY,11220,$95.00,$85.00,,,,718-208-4449,Natalie Briceno,Nbriceno@entandallergy.com,Natalie Cell- 929-252-1566,,,
ENT & Allergy- E48th St,,18 E48th St,New York,NY,10017,$95.00,$110.00,,,,646-868-4300,Anvar Latipov,aal02@qmmsusa.com,,,,
ENT & Allergy- Islandia,,2929 Expressway Drive North,Islandia/ Hauppauge,NY,11749,$95.00,$110.00,,,,631-665-2430,Gertrude Udaze,Gudaze@entandallergy.com,Gertrude Udaze,,,
ENT & Allergy- Paramus,,650 From Road,Paramus,NJ,7652,$95.00,$110.00,,,,201-829-0202,Maria Menonna,MMenonna@entandallergy.com,,,,
ENT & Allergy- Port Jefferson,,1500 RT 112,Port Jefferson Station,NY,11776,$95.00,$110.00,,,,631-828-7001,Carolyn,ctrombetta@entandallergy.com,Michelle,,,
Excel Lingistics,,,Boston,MA,,$115.00,$125.00,,,,781-835-6681,Reid Mosquera,reid@excellinguistics.com,,,,
Eye MD,,1301 Ave J,Brooklyn,NY,11230,95,115,190,25,25,718-627-0303 x 207,Marcia Gabinsky,marcia@nylasik.com,Masha,carmen.klmeyecare@gmail.com 718-938-1333,,
Fema Ohio,,,,,,,,,,,,,,,,,
Garden State Pain Control,,25 S. Main St,Edison,NJ,8837,$90.00,$105.00,$160.00,,$50.00,732-376-0330,Lolita,lolitagspc@gmail.com,,,,
Gi Medical,,305 Seguine Ave,Staten Island,NY,,$95.00,$110.00,$155.00,,,,Doreen Piro,dpiro@gimedicalsi.com,,,,
Globo,,,,,,$110.00,,,,,267-679-4147,Dominika,,Dominika Cell number 267-679-4147,,,
Go T&T,,755 Clay Street,Winter Park,FL,32789,$95.00,,,,,844-468-2638,Ligia Lammers,interpreterdeveloper@gotandt.com,,,,
Health Care Associates,,Hylan Blvd,Staten Island,NY,,$85.00,$95.00,,,$50.00,,,,,,,
Health Plus Trans,,,,,,115,,,,,,,,,,,
HomeLinks,,,,,,$115.00,$125.00,,,,877-225-0960,Amanda Kane,Amanda.Kane@vgm.com,Amanda Kane,,,
Hylan Smile,,3767 Hylan Blvd,Staten Island,NY,10308,$85.00,,,,,,Teresa,info@hylansmiles.com,,,,
Independent Living Center,,470 Castleton Ave,Staten Island,NY,10301,$75.00,,,,,347-579-1389,Jade Smith,Jsmith@siciliving.org,,,,
International Languages,,515 Madison Ave,New York,NY,1022,$90.00,,,,,212-856-9848,Luz Gallegos,lgallegos@islanguages.com,job interview in NYC,,,
Interprenet,,27 Wacker Dr Suite270,Chicago,IL,60606,$115.00,,,,,312-928-1188,Firat Sanliturk,,312-928-1188,,,
Jewish Board - Coney Island,,2020 Coney Island Ave,Brooklyn,NY,11223,75,,,,,718-676-4284,JoAnn Flood,jflood@jbfcs.org,,,,
Jewish Board- Harlem,,,,,,75,,,,,,,,,,,
Jewish Board- NY,,5030 Broadway Suite 201,New York,NY,10034,75,,,,,,Silvia Orellana,sorellana@jbfcs.org,,,,
Jewish Board- SI,,1765 South Ave,Staten Island,NY,10314,$75.00,,,,,,Valerie Mitchell,,,,,
Jewish Board- W36th,,2928 West 36th Street,Brooklyn,NY,11224,75,,,,,,Rachel Krutiy,Rkrutiy@jbcs.org,,,,
John Merlino,,,Staten Island,NY,,$100.00,,,,,,,,,,,
Kean University,,215 North Ave,Hillside,NJ,7205,$150.00,,,,,,Steve Concord,scochran@kean.edu,,,,
Kids Dental,,4864 Arthur Kill Road,Staten Island,NY,10309,$75.00,$100.00,$150.00,,$25.00,,,,,,,
Language Doctor,,1910 Towne Centre Blvd,Annapolis,MD,21401,$110.00,,,,,,Paula Bazan,pbaz@tldinc.org,Paula,,,
Language Solutions,,,,,,$95.00,,,,,412-604-3988,Ivan,asl_requests@languagest.com,,,,
Languages Unlimited,,600 Metrowest Blvd,Orlando,Fl,,$100.00,,,,,407-961-7935,Juan Cabreja,Juan@languagesunlimited.com,Did physicas job. Address sutie is 208,,,
Languuager,,,,,,$80.00,,,,,800-527-3001,Matt Nayeem,hr@languagers.com,ext 11,,,
Legacy Dance,,,,,,,$130.00,,,,631-319-1600,David Sanders,legacydancechampionships.com,,,,
Legal Languages,,15 Maiden Lane Suite300,Manhattan,NY,10038,$130.00,$95.00,$125.00,,,212-346-6648,Whitney Yang,interpreting@legallanguage.com,$130 legal/ $95 Medical,,,
Legal Languages Medical,,15 Maiden Lane Suite300,Manhattan,NY,10038,$90.00,,,,,212-346-6648,Whitney Yang,interpreting@legallanguage.com,,,,
Lenox Hill - Freeport,,375 W. Sunrise Hwiy,Freeport,NY,11520,95,115,190,,,516-662-4149,Alex Kuster,Alexanderkuster@radnet.com,,,,
Lenox Hill Radiology,,,Staten Island,NY,,$95.00,$115.00,$190.00,,,718-440-3910,Annette McKenna,annette.mckenna@radnet.com,,,,
Lenox Hill- Forest Hills,,96-10 Metropolitain Ave,Forest Hills,NY,,95,115,190,,,,,,,,,
Lenox Hill- Lynbrook,,443 Sunrise Hwy,Lynbrook,NY,11563,95,115,190,25,25,917*480-0861,Nev Kaur,navneet.kaur@radnet.com,,,,
